,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
346,Kankan,GN,71.46,broken clouds,10.3854,-9.3057,Hotel Bate
347,Lodja,CD,67.6,light rain,-3.4833,23.4333,Veral Lodge
348,Ipixuna,BR,72.75,overcast clouds,-1.7625,-48.8043,Hostel Amazônia
351,Port Augusta,AU,77.59,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
352,Banepa,NP,68.32,broken clouds,27.6298,85.5214,Hilltake Wellness Resort & Spa
353,Sao Filipe,CV,78.4,light rain,14.8961,-24.4956,Hotel Xaguate
355,Pokhara,NP,75.18,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
358,Dondo,MZ,72.91,broken clouds,-19.6094,34.7431,Beira Terrace Hotel
359,Lagoa,PT,69.12,clear sky,39.05,-27.9833,Hotel São Jorge Garden
360,Wenchi,GH,70.63,overcast clouds,7.7392,-2.1046,Ebenezer Hotel
361,Lompoc,US,62.56,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
362,Agadez,NE,74.19,clear sky,19.75,10.25,
363,Kasongo-Lunda,CD,68.14,scattered clouds,-6.4667,16.8167,
364,Yenagoa,NG,75.02,overcast clouds,4.9247,6.2642,Ayalla Hotels Limited
365,Kawalu,ID,78.8,overcast clouds,-7.3817,108.2082,West Jontor
366,Indaiatuba,BR,68.86,light rain,-23.0903,-47.2181,Alji Hotel
369,Laguna,US,80.31,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
373,Dingle,PH,87.48,scattered clouds,10.9995,122.6711,OYO 236 Hotel Edmundo
375,Hithadhoo,MV,81.07,light rain,-0.6,73.0833,"Shangri-La's Villingili Resort & Spa, Maldives"
376,Turkistan,KZ,59.58,clear sky,43.0,68.0,Hostel AiAru
377,Lata,PT,63.81,overcast clouds,40.1629,-8.3327,Hotel Quinta do Viso
378,Salalah,OM,73.49,clear sky,17.0151,54.0924,Hilton Salalah Resort
379,Two Rivers,US,52.97,clear sky,44.1539,-87.5693,"Holiday Inn Manitowoc, an IHG Hotel"
380,Japura,ID,83.75,overcast clouds,-0.3167,102.35,TRI SUSANTO
381,Barcelos,PT,61.92,clear sky,41.5388,-8.6151,Hotel Do Terço
382,Chifeng,CN,56.84,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
383,Grand Gaube,MU,74.37,overcast clouds,-20.0064,57.6608,The Ravenala Attitude Hotel
385,Nisia Floresta,BR,75.58,few clouds,-6.0911,-35.2086,Blue Marlin Resort
386,Saint-Pierre,RE,73.08,broken clouds,-21.3393,55.4781,Alize Plage
387,Moerai,PF,70.79,overcast clouds,-22.4333,-151.3333,Le Manotel
388,Naze,JP,76.12,overcast clouds,28.3667,129.4833,Amami Resort Basyayamamura
389,Sydney,AU,67.23,broken clouds,-33.8679,151.2073,The Grace Sydney
390,Jiamusi,CN,52.18,clear sky,46.8333,130.35,Riversky Hotel
392,Lewistown,US,52.25,clear sky,40.5992,-77.5714,Quality Inn & Suites
394,Ponnani,IN,76.32,overcast clouds,10.767,75.9252,Rouba Residency
395,Beyneu,KZ,60.06,overcast clouds,45.3167,55.2,NUR
397,Mapastepec,MX,75.07,overcast clouds,15.4333,-92.9,Finca TAJUKO
398,Tutoia,BR,79.05,scattered clouds,-2.7619,-42.2744,Pousada Guará's
399,Veraval,IN,84.11,overcast clouds,20.9,70.3667,Lords Inn Somnath
401,Anjiang,CN,63.43,overcast clouds,27.3194,110.1031,Tongluowan Hotel
403,Geraldton,AU,66.61,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
404,Hami,CN,61.05,few clouds,42.8,93.45,Post And Telecommunication Hotel
405,Port Hardy,CA,51.98,few clouds,50.6996,-127.4199,Providence Place
407,Nevers,FR,55.4,overcast clouds,46.9167,3.3333,ibis Nevers
408,Gorontalo,ID,81.27,light rain,0.5412,123.0595,Maqna Hotel by Prasanthi
409,Price,US,60.12,clear sky,39.5994,-110.8107,National 9 Inn - Wellington
411,Wukari,NG,72.25,overcast clouds,7.85,9.7833,Gilgal Homes
412,Burgos,ES,55.81,broken clouds,42.3394,-3.7079,Hotel Corona de Castilla (Sercotel)
413,Zhanakorgan,KZ,58.08,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
416,Muros,ES,58.84,clear sky,42.7762,-9.0603,HOTEL NOIA
417,Tshikapa,CD,68.72,scattered clouds,-6.4167,20.8,Tatem beach
418,Baden,AT,58.75,broken clouds,47.9974,16.233,carathotel Schloss Weikersdorf
419,Llangefni,GB,54.73,few clouds,53.2556,-4.3106,"Premier Inn Bangor (Gwynedd, North Wales) hotel"
420,Rock Sound,BS,83.01,broken clouds,24.9,-76.2,Pineapple Fields Resort Eleuthera
422,Puerto Ayacucho,VE,74.75,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
424,Piombino,IT,63.57,clear sky,42.9348,10.5221,Hotel Terme di Venturina
428,Urubicha,BO,70.27,broken clouds,-15.3833,-62.95,La Chonta
429,Basco,PH,78.66,light rain,20.4487,121.9702,Nathaniel's Lodge
430,Oriximina,BR,74.43,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
434,Shangzhi,CN,50.86,clear sky,45.2167,127.9667,Yanshou Hotel
435,Antalaha,MG,70.97,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
436,Kant,IN,74.97,overcast clouds,27.8,79.8,Hotel All Is Well and Resturant
437,Hurup,DK,51.66,scattered clouds,56.7494,8.4195,Hotel Thinggaard
